,doc_id,sent_id,sent_text,party,text_prepared,prediction,score
0,00692aad7a7455a9bef5f635460bff5fac60a188331556d8e312cddd,00692aad7a7455a9bef5f635460bff5fac60a188331556d8e312cddd-5,Het Europees Parlement en de 27 EU-lidstaten hebben een akkoord bereikt over de natuurherstelwet van voormalig Eurocommissaris Frans Timmermans .,GL/PvdA,"Alleen als van hen genoeg leden voorstemt , haalt de wet de eindstreep .. Deze zin: ""Het Europees Parlement en de 27 EU-lidstaten hebben een akkoord bereikt over de natuurherstelwet van voormalig Eurocommissaris Frans Timmermans ."" - einde van de zin. De deal die er nu ligt , is een sterk afgezwakte versie van het oorspronkelijke plan van Timmermans .",issue_no,0.9996602388900115
1,014ba93f962cf6b9dd53930692c025535512f25b95c191e39024d9b8,014ba93f962cf6b9dd53930692c025535512f25b95c191e39024d9b8-1,Vanavond op tv : EU-lidmaatschap Oekraïne stap dichterbij • In gesprek met Volt-lijsttrekker Laurens Dassen EU-lidmaatschap Oekraïne stap dichterbij,Overig,". Deze zin: ""Vanavond op tv : EU-lidmaatschap Oekraïne stap dichterbij • In gesprek met Volt-lijsttrekker Laurens Dassen EU-lidmaatschap Oekraïne stap dichterbij"" - einde van de zin. In aanloop naar de Tweede Kamerverkiezingen komt Nieuwsuur met speciale uitzendingen .",issue_no,0.9989181780864981
2,0189c80d3f2450591a7a6b1731c489adc895aeabf2d1250cff3c4ffb,0189c80d3f2450591a7a6b1731c489adc895aeabf2d1250cff3c4ffb-15,Amerikaanse minister Blinken onaangekondigd in Irak,Overig,"Terroristen gebruiken burgers als levend schild , aldus het Israëlische leger .. Deze zin: ""Amerikaanse minister Blinken onaangekondigd in Irak"" - einde van de zin. 14:39",issue_no,0.9990779722559989
3,0252c252411936e3e00ad364ecf87123325421a98cbeb864912d72c7,0252c252411936e3e00ad364ecf87123325421a98cbeb864912d72c7-21,VVD-burgemeester Mikkers ging na zijn uitspraak overigens diep door het stof .,VVD,"Spijt. Deze zin: ""VVD-burgemeester Mikkers ging na zijn uitspraak overigens diep door het stof ."" - einde van de zin. Hij begrijpt dat mensen teleurgesteld in hem zijn , al benadrukte hij in een verklaring dat hij het niet had over de Marokkaanse gemeenschap in Den Bosch maar alleen over overlast gevende asielzoekers uit Marokko .",issue_yes,0.9962692731801337
4,028ee52b6b8355a9d79ce8a40f6e8c0ac35e6e804ad4550f24805d5f,028ee52b6b8355a9d79ce8a40f6e8c0ac35e6e804ad4550f24805d5f-1,"Felle discussie Van Baarle ( Denk ) en Eerdmans ( JA21 ) over institutioneel racisme Van Baarle vindt het "" schandalig "" dat mensen met een migratieachtergrond vaker in armoede leven door institutioneel racisme .",JA21,". Deze zin: ""Felle discussie Van Baarle ( Denk ) en Eerdmans ( JA21 ) over institutioneel racisme Van Baarle vindt het "" schandalig "" dat mensen met een migratieachtergrond vaker in armoede leven door institutioneel racisme ."" - einde van de zin. Eerdmans reageert daarop dat Van Baarle altijd de "" racismekaart "" trekt .",issue_no,0.998458597790391
5,02d79f9b0ac669adbf1848be104434fafbe8a3799471289388deacfe,02d79f9b0ac669adbf1848be104434fafbe8a3799471289388deacfe-1,Kijk hier de Q&A met PvdD-leider Ouwehand terug Partij voor de Dieren-leider Esther Ouwehand beantwoordde vragen die gesteld werden op Instagram .,PvdD,". Deze zin: ""Kijk hier de Q&A met PvdD-leider Ouwehand terug Partij voor de Dieren-leider Esther Ouwehand beantwoordde vragen die gesteld werden op Instagram ."" - einde van de zin. ",issue_no,0.999065409475802
6,02e95eb76b907727aabefc0a4449b9cf0f473724e6def3054c5d5c69,02e95eb76b907727aabefc0a4449b9cf0f473724e6def3054c5d5c69-28,"De Palestijnse minister van Volksgezondheid zegt tegen het Palestijnse persbureau Wafa dat Israëlische troepen niet evacueren , maar gewonden en patiënten met geweld op straat zetten , "" waar ze een onvermijdelijke dood tegemoet gaan "" .",Overig,"Het Internationale Rode Kruis zegt met alle partijen in gesprek te zijn , maar nog niks te weten van een humanitaire corridor die geopend zou zijn .. Deze zin: ""De Palestijnse minister van Volksgezondheid zegt tegen het Palestijnse persbureau Wafa dat Israëlische troepen niet evacueren , maar gewonden en patiënten met geweld op straat zetten , "" waar ze een onvermijdelijke dood tegemoet gaan "" ."" - einde van de zin. De directeur van het Al-Shifa-ziekenhuis zegt in gesprek met nieuwszender Al Jazeera dat er zeker 650 patiënten in levensgevaar zijn door de situatie bij het ziekenhuis .",issue_no,0.9984812161384068
7,046252bef45e9f0bd8e3de4ea12d6977c4bfff6a8f57cd2c1a522775,046252bef45e9f0bd8e3de4ea12d6977c4bfff6a8f57cd2c1a522775-1,Frans Timmermans wil dat Nederland een voorbeeld wordt,GL/PvdA,". Deze zin: ""Frans Timmermans wil dat Nederland een voorbeeld wordt"" - einde van de zin. Na een carrière in de Europese politiek , gaat Frans Timmermans nu weer voor Den Haag .",issue_no,0.9985138593833556
8,04fbd79b48db5d9ea43d35133fca65e0635f94dad4873c0e49c6e5db,04fbd79b48db5d9ea43d35133fca65e0635f94dad4873c0e49c6e5db-21,Omtzigt van Nieuw Sociaal Contract was er niet bij .,NSC,"In het eerste grote verkiezingsdebat in aanloop naar de Tweede Kamerverkiezingen , op NPO Radio 1 , hebben zestien lijsttrekkers gediscussieerd over onder meer klimaat , bestaanszekerheid en het terugwinnen van het vertrouwen in de politiek .. Deze zin: ""Omtzigt van Nieuw Sociaal Contract was er niet bij ."" - einde van de zin. Volgens NOS-verslaggever Xander van der Wulp was vooral de confrontatie tussen VVD-leider Yesilgöz en PVV-leider Wilders bij het thema migratie opvallend .",issue_no,0.9993067298701913
9,05605f07f716cbac0f4b41999c277076afb6e1fa34e6e9814295f9a4,05605f07f716cbac0f4b41999c277076afb6e1fa34e6e9814295f9a4-2,"Eerder vandaag werd bekend dat minister Galamba van Infrastructuur als verdachte geldt in de zaak , die het land al enige tijd bezighoudt .",Overig,"Schadelijk voor het imago. Deze zin: ""Eerder vandaag werd bekend dat minister Galamba van Infrastructuur als verdachte geldt in de zaak , die het land al enige tijd bezighoudt ."" - einde van de zin. Toen dat naar buiten kwam beweerde hij aanvankelijk dat TAP met het plan was gekomen om de topvrouw door hem te laten briefen , maar later erkende hij toch dat het uit zijn eigen koker kwam .",issue_no,0.9991580018961058
