,doc_id,sent_id,sent_text,party,text_prepared,prediction,score
0,001417fc39cb9a198d42da2fa051c46c6401e45b1b8e5736e242fb67,001417fc39cb9a198d42da2fa051c46c6401e45b1b8e5736e242fb67-4,Als prominent VVD'er is de nieuwe bestuurscultuur .,VVD,"En natuurlijk ook een thema voor u .. Deze zin: ""Als prominent VVD'er is de nieuwe bestuurscultuur ."" - einde van de zin. Een eind aan de achterkamers , de kamer buiten spel zetten .",issue_no,0.9987150902115597
1,0022dfe0f8648757462c49ad04544380338bc664b4f3a66d067b1e11,0022dfe0f8648757462c49ad04544380338bc664b4f3a66d067b1e11-2,De VVD ?,VVD,"Wat zullen we erbij doen ?. Deze zin: ""De VVD ?"" - einde van de zin. ",issue_no,0.9995157023105712
2,0028c1a34cd816fac40df2d1f0c2cc3b920203e51b75018213b70f09,0028c1a34cd816fac40df2d1f0c2cc3b920203e51b75018213b70f09-2,willen dat er over rechts een coalitie wordt gevormd met de PVV .,PVV,"Uit een peiling van het EénVandaag-opiniepanel blijkt dat de meeste NEC-stemmers in het panel .... Deze zin: ""willen dat er over rechts een coalitie wordt gevormd met de PVV ."" - einde van de zin. Wat vindt u daarvan ?",issue_no,0.9995242701254264
3,004fbee1ed7d3b579a70373ce7e1734995296a8246b2da80545d3787,004fbee1ed7d3b579a70373ce7e1734995296a8246b2da80545d3787-1,Omtzigt zelf heeft dat zelf natuurlijk ook heel vaak benadrukt ...,NSC,". Deze zin: ""Omtzigt zelf heeft dat zelf natuurlijk ook heel vaak benadrukt ..."" - einde van de zin. dat hij echt slachtoffer is geweest in deze kwestie .",issue_no,0.9954698693631053
4,006d0b5a5c7f2c9b4866388f0570ca49886568c3f4cb842db6d529d1,006d0b5a5c7f2c9b4866388f0570ca49886568c3f4cb842db6d529d1-13,Dat is een ander voorstel van Omtzigt .,NSC,"Of het introduceren van een veto .. Deze zin: ""Dat is een ander voorstel van Omtzigt ."" - einde van de zin. Een veto voor Nederland voor bepaalde richtlijnen .",issue_no,0.9995688017024189
5,008896883765fe0e6a36544c1479d7ac1fe5d425c8ac72ea2eb6cae8,008896883765fe0e6a36544c1479d7ac1fe5d425c8ac72ea2eb6cae8-3,van GroenLinks-PVDA .,GL/PvdA,"Ik vind het eerlijk gezegd niet zo'n verstandige strategie .... Deze zin: ""van GroenLinks-PVDA ."" - einde van de zin. Ik had eigenlijk verwacht toen",issue_no,0.9992999719475458
6,008935595f95a7856f9431308750d10e22cd301139aed54e09b7ed9a,008935595f95a7856f9431308750d10e22cd301139aed54e09b7ed9a-4,Pieter Omtzigt .,NSC,"Van de vechter die zich in dossiers kan vastbijten .. Deze zin: ""Pieter Omtzigt ."" - einde van de zin. Ik geloof dat ze niet begrijpen dat die man niet gemaakt is ...",issue_no,0.9989478476442626
7,00bf16fc862ec2a10f9f07a125745b732924babfdc2491b9a8e5a3e9,00bf16fc862ec2a10f9f07a125745b732924babfdc2491b9a8e5a3e9-3,Dit doet heel erg denken aan die VVD-campagne uit 2021 ...,VVD,"Dat is echt enorm slim .. Deze zin: ""Dit doet heel erg denken aan die VVD-campagne uit 2021 ..."" - einde van de zin. waarbij de VVD met die bordkartonnen Mark Rutte de straat op ging ...",issue_no,0.9988578997447368
8,00c5e5b84721187924862c311212a331a97e52d63946563981721f01,00c5e5b84721187924862c311212a331a97e52d63946563981721f01-7,Dus kennelijk is het de VVD-kiezer ...,VVD,"Ondanks die affaire won hij gewoon de verkiezingen .. Deze zin: ""Dus kennelijk is het de VVD-kiezer ..."" - einde van de zin. ...die niet met dit soort thema's bezig is .",issue_yes,0.9638781698718675
9,00d4edbb39d4f65e6fc774dab4f0c0053c445446f1153a8e8085c607,00d4edbb39d4f65e6fc774dab4f0c0053c445446f1153a8e8085c607-2,Maar niemand is ook bezig met of Frans Timmermans naar Malaga gaat .,GL/PvdA,"Maar er is helemaal niemand die wel of niet op Frans Timmermans stemt .... Deze zin: ""Maar niemand is ook bezig met of Frans Timmermans naar Malaga gaat ."" - einde van de zin. omdat hij in een vliegtuig naar Malaga heeft gezeten .",issue_no,0.999170822955881
